code;name;url;phone
F00000317;SOPHIA;https://pe.ivademecum.com/laboratorio-sophia-cod-3C09D32E6D7824EF;225-1912, /1558, 2157
F00000318;QUIMFA;https://pe.ivademecum.com/laboratorio-quimfa-cod-837C862866EDF69D;451-3566, 464-5008
F00000319;NEUMOBIOTICS;https://pe.ivademecum.com/laboratorio-neumobiotics-cod-136931393D0B2A4A;
F00000320;ROEMMERS;https://pe.ivademecum.com/laboratorio-roemmers-cod-D063F531925A8503;(51) (1) 4621616
F00000321;LUSA;https://pe.ivademecum.com/laboratorio-lusa-cod-95EEA2BCDD99D906;204 5600
F00000322;MEDIFARMA;https://pe.ivademecum.com/laboratorio-medifarma-cod-A43BDCAF942F5ED0;(511) 332-6200
F00000323;MAGMA;https://pe.ivademecum.com/laboratorio-magma-cod-1E3810B90967ECE4;
F00000324;ESKE GROUP;https://pe.ivademecum.com/laboratorio-eske-group-cod-6964A12BE56D538F;+51 1 2413110
F00000325;NORDIC;https://pe.ivademecum.com/laboratorio-nordic-cod-AF9FFEDAB77D8CE5;
F00000326;OKASA;https://pe.ivademecum.com/laboratorio-okasa-cod-1619CA4B254115C2;462-7929, 332-2901
F00000327;INFERMED;https://pe.ivademecum.com/laboratorio-infermed-cod-CB9471148A917B70;275-1957
F00000328;PORTUGAL;https://pe.ivademecum.com/laboratorio-portugal-cod-6FAE36C4608B51BB;(054) 316031
F00000329;SKIN MASTER;https://pe.ivademecum.com/laboratorio-skin-master-cod-62DB0E94B61B8F6A;448-2048
F00000330;MAQUIFARMA;https://pe.ivademecum.com/laboratorio-maquifarma-cod-4FA9FA76B3847B25;
F00000331;UNIMED;https://pe.ivademecum.com/laboratorio-unimed-cod-99B7E870C65ED278;611-5500
F00000332;ROCHE;https://pe.ivademecum.com/laboratorio-roche-cod-8F4F8FD05B4F6715;618-8888
F00000333;PFIZER;https://pe.ivademecum.com/laboratorio-pfizer-cod-39F75BB359C46BB9;6152100
F00000334;HEEL;https://pe.ivademecum.com/laboratorio-heel-cod-D4C9114E4B7C1057;
F00000335;INDUQUIMICA;https://pe.ivademecum.com/laboratorio-induquimica-cod-7D8A17050B8CB637;
F00000336;QUIARSA;https://pe.ivademecum.com/laboratorio-quiarsa-cod-2268CEF57E2FA517;(511) 617 6020
F00000337;GENCOPHARMAC.;https://pe.ivademecum.com/laboratorio-gencopharmac-cod-0EE19A3384A841F9;356-0937
F00000338;MARKOS;https://pe.ivademecum.com/laboratorio-markos-cod-C2F9108DD5FA353A;326-5780, 326-5783
F00000339;OFTALMOMEDICA;https://pe.ivademecum.com/laboratorio-oftalmomedica-cod-E1E39B26BD18BA8B;225-1543, 225-1543
F00000340;AC FARMA;https://pe.ivademecum.com/laboratorio-ac-farma-cod-C28C952F81D8B343;(511)349-1986
F00000341;LABEX CORP.;https://pe.ivademecum.com/laboratorio-labex-corp-cod-19F931139FA0C45D;250-9067
F00000342;SIEGFRIED;https://pe.ivademecum.com/laboratorio-siegfried-cod-18162848DF276855;+51(1) 622-2050
F00000343;SANITAS;https://pe.ivademecum.com/laboratorio-sanitas-cod-729BD29F815F14FD;
F00000344;ABL PHARMA;https://pe.ivademecum.com/laboratorio-abl-pharma-cod-1506DC3555202BDD;519-0600	612-7105
F00000345;CARDIOPHARM;https://pe.ivademecum.com/laboratorio-cardiopharm-cod-80AA02CC501E5770;221-2100
F00000346;MEDROCK;https://pe.ivademecum.com/laboratorio-medrock-cod-F39273ACEC9EBD8A;(01) 206-6630
F00000347;FARMINDUSTRIA;https://pe.ivademecum.com/laboratorio-farmindustria-cod-9CF898A2076482FE;411-7000
F00000348;TRIFARMA;https://pe.ivademecum.com/laboratorio-trifarma-cod-82C5A04A31CBD6EA;
F00000349;ACHE;https://pe.ivademecum.com/laboratorio-ache-cod-153BFE9078BAFF43;
F00000350;TEVA;https://pe.ivademecum.com/laboratorio-teva-cod-3C9A2E4E3F232197;+51 1 4150500
F00000351;OQ PHARMA;https://pe.ivademecum.com/laboratorio-oq-pharma-cod-C32007BB2E3461A9;326-7200
F00000352;LANSIER;https://pe.ivademecum.com/laboratorio-lansier-cod-DF8D19E2E19B2631;(511) 208-9200
F00000353;LCG;https://pe.ivademecum.com/laboratorio-lcg-cod-6AD09B0224B03F02;
F00000354;QUILAB GENERIC.;https://pe.ivademecum.com/laboratorio-quilab-generic-cod-75E2AAA623475E5D;
F00000355;GENFAR;https://pe.ivademecum.com/laboratorio-genfar-cod-95184C6FF893C315;618-6100
F00000356;IQFARMA;https://pe.ivademecum.com/laboratorio-iqfarma-cod-1C096356DB730EAF;612-0707
F00000357;MARFAN;https://pe.ivademecum.com/laboratorio-marfan-cod-216605B7CB7AC7D5;
F00000358;FARVET;https://pe.ivademecum.com/laboratorio-farvet-cod-462DD9310516A9D4;448-6213, 448-6608, 448-5582
F00000359;PHARMED CORP.;https://pe.ivademecum.com/laboratorio-pharmed-corp-cod-EFC1ED446BAA9B89;273-2137
F00000360;LABOT;https://pe.ivademecum.com/laboratorio-labot-cod-CA016E57B04C6128;(511) 626 8600
F00000361;LA SANTE;https://pe.ivademecum.com/laboratorio-la-sante-cod-38AB853920B2F988;211-4000
F00000362;HERSIL;https://pe.ivademecum.com/laboratorio-hersil-cod-C3D4F95F492F9A98;51-1-713 3333
F00000363;PHARMATECH;https://pe.ivademecum.com/laboratorio-pharmatech-cod-6F4B6A39F58A18AB;652-6821, 652-6820
F00000364;ARION MASON;https://pe.ivademecum.com/laboratorio-arion-mason-cod-D89A7D40F2933FE7;224-0306,226-0204
F00000365;PERULAB;https://pe.ivademecum.com/laboratorio-perulab-cod-1B268369EDCAE7A1;
F00000366;SHERFARMA;https://pe.ivademecum.com/laboratorio-sherfarma-cod-242D4E7F539AB4E6;344-4099,	344-4098
F00000367;MUNDIPHARMA;https://pe.ivademecum.com/laboratorio-mundipharma-cod-3E4C770195F87913;264-8294
F00000368;INTIPHARMA;https://pe.ivademecum.com/laboratorio-intipharma-cod-1A4A0D31C3B55EA3;(511) 254 8750
F00000369;TORRES PHARMA;https://pe.ivademecum.com/laboratorio-torres-pharma-cod-214F79CD8BB0975A;
F00000370;LA COOPER;https://pe.ivademecum.com/laboratorio-la-cooper-cod-BFDE4589D484DFE6;054-457403
F00000371;NOVARTIS PHARMA;https://pe.ivademecum.com/laboratorio-novartis-pharma-cod-8FF852D7926DEABA;494-1417
F00000372;ALBIS CONSUMO;https://pe.ivademecum.com/laboratorio-albis-consumo-cod-5A5E65C7BBC275DC;411-6300
F00000373;STIEFEL;https://pe.ivademecum.com/laboratorio-stiefel-cod-7D8C09D021D091CC;
F00000374;HAUS HOFFEN;https://pe.ivademecum.com/laboratorio-haus-hoffen-cod-8EE2ABEBE8BF6535;(511) 346-3717
F00000375;FARPASA;https://pe.ivademecum.com/laboratorio-farpasa-cod-DE1C2E89CF5AB81B;
F00000376;BAGO;https://pe.ivademecum.com/laboratorio-bago-cod-FE0167D279C796AB;0800 000 11, 0800 001 09
F00000377;SANOFI PASTEUR;https://pe.ivademecum.com/laboratorio-sanofi-pasteur-cod-8BAAC4A201387BDB;(511) 411-4710
F00000378;INDUFAR-DU PERU;https://pe.ivademecum.com/laboratorio-indufar-du-peru-cod-6C07602AEBFD2410;627-4367
F00000379;BOEHRINGER;https://pe.ivademecum.com/laboratorio-boehringer-cod-5EB99BD64DF6092A;+51 1 412 5000
F00000380;BIOSYNTEC;https://pe.ivademecum.com/laboratorio-biosyntec-cod-262068D8A4E98A5D;628-1148
F00000381;SANOFI AVENTIS;https://pe.ivademecum.com/laboratorio-sanofi-aventis-cod-E3CFD4BEE7CF04CB;(511) 411-4710
F00000382;ABBOTT;https://pe.ivademecum.com/laboratorio-abbott-cod-EDAE2B578154E98E;219-3300, 461-1916
F00000383;ALLERGAN;https://pe.ivademecum.com/laboratorio-allergan-cod-8FB7A02ECAF2F6F0;(511) 6281320
F00000384;SOLUTIONS M.I.;https://pe.ivademecum.com/laboratorio-solutions-m-i-cod-0C13EB83E67331DB;279-0800, 275-7683, 275-0465
F00000385;MERZ;https://pe.ivademecum.com/laboratorio-merz-cod-ACA7B1C34AD831DE;
