code;name;url;active-ingredient;laboratory
P00012334;3-A OFTENO;https://pe.ivademecum.com/medicamento-3-ofteno-sophia-cod-10B636755B0F5490;Analgésicos oftálmicos;SOPHIA
P00012335;AAS 81MG;https://pe.ivademecum.com/medicamento-aas-81mg-quimfa-cod-63A38B3AA2905A1A;Queratolíticos;QUIMFA
P00012336;AB AMBROMOX;https://pe.ivademecum.com/medicamento-ab-ambromox-neumobiotics-cod-53CF6E261B869B26;Antibióticos;NEUMOBIOTICS
P00012337;AB AMOXIDAL;https://pe.ivademecum.com/medicamento-ab-amoxidal-roemmers-cod-011E586C1F8FB8B5;Antibióticos;ROEMMERS
P00012338;AB BRONCOPEN R NF;https://pe.ivademecum.com/medicamento-ab-broncopen-r-nf-lusa-cod-D1337AB4DCB44A8D;Antibióticos;LUSA
P00012339;AB BRONPAMOX;https://pe.ivademecum.com/medicamento-ab-bronpamox-neumobiotics-cod-AAF3B21155B78492;Antibióticos;NEUMOBIOTICS
P00012340;AB-BRONCOL;https://pe.ivademecum.com/medicamento-ab-broncol-medifarma-cod-9C7393E6720D655F;Antibióticos;MEDIFARMA
P00012341;AB-FORTIMICIN;https://pe.ivademecum.com/medicamento-ab-fortimicin-magma-cod-8DEF34445AD75850;Antibióticos;MAGMA
P00012342;AB-MOKS;https://pe.ivademecum.com/medicamento-ab-moks-medifarma-cod-159CEB8F8E950FE6;Antibióticos;MEDIFARMA
P00012343;AB-MOKS FORTE;https://pe.ivademecum.com/medicamento-ab-moks-forte-medifarma-cod-956A90671DBCD0F7;Antibióticos;MEDIFARMA
P00012344;ABACAVIR;https://pe.ivademecum.com/medicamento-abacavir-eske-group-cod-CA9D5FFDF01D16DF;Antivirales;ESKE GROUP
P00012345;ABACAVIR;https://pe.ivademecum.com/medicamento-abacavir-nordic-cod-3C1C3221A1D85FCC;Antivirales;NORDIC
P00012346;ABAVAN 300;https://pe.ivademecum.com/medicamento-abavan-300-okasa-cod-6E9E2E9B3CAC7E02;Antivirales;OKASA
P00012347;ABIOCEF;https://pe.ivademecum.com/medicamento-abiocef-infermed-cod-579C86BDF6566ED1;Antibióticos;INFERMED
P00012348;ABRETIA;https://pe.ivademecum.com/medicamento-abretia-roemmers-cod-AD8DF19AD4DA15F3;Nootrópicos;ROEMMERS
P00012349;ABRIFLU;https://pe.ivademecum.com/medicamento-abriflu-portugal-cod-FE223895CEA24425;Antitusivos, expectorantes, mucolíticos;PORTUGAL
P00012350;ABRILAR;https://pe.ivademecum.com/medicamento-abrilar-roemmers-cod-0F212502AFB51BC6;Antitusivos, expectorantes, mucolíticos;ROEMMERS
P00012351;ABRIMED;https://pe.ivademecum.com/medicamento-abrimed-portugal-cod-CC392E2173E65EF5;Antitusivos, expectorantes, mucolíticos;PORTUGAL
P00012352;ABSORB-K;https://pe.ivademecum.com/medicamento-absorb-k-skin-master-cod-5E0F4FFFAEFA25E2;Dermatocosméticos;SKIN MASTER
P00012353;ABUBRON AB;https://pe.ivademecum.com/medicamento-abubron-ab-maquifarma-cod-580A0618B5A288B5;Antibióticos;MAQUIFARMA
P00012354;ACAR KLEAN;https://pe.ivademecum.com/medicamento-acar-klean-unimed-cod-23C31042283D835D;;UNIMED
P00012355;ACARIL;https://pe.ivademecum.com/medicamento-acaril-medifarma-cod-C1B198D0062C4D2B;Escabicidas;MEDIFARMA
P00012356;ACARIL-S;https://pe.ivademecum.com/medicamento-acaril-s-medifarma-cod-59A631C3B95BF6D5;Escabicidas;MEDIFARMA
P00012357;ACCU-CHEK ACTIVE;https://pe.ivademecum.com/medicamento-accu-chek-active-roche-cod-465ED2B81C51FF27;Glucemia o glucosuria;ROCHE
P00012358;ACCU-CHEK PERFORMA;https://pe.ivademecum.com/medicamento-accu-chek-performa-roche-cod-127FBC719A2FC004;Glucemia o glucosuria;ROCHE
P00012359;ACCUPRIL;https://pe.ivademecum.com/medicamento-accupril-pfizer-cod-C7D6CB91DF818D1E;Antihipertensivos;PFIZER
P00012360;ACCURETIC;https://pe.ivademecum.com/medicamento-accuretic-pfizer-cod-C57A6D55EA83F702;Antihipertensivos;PFIZER
P00012361;ACEITE DE COCO;https://pe.ivademecum.com/medicamento-aceite-coco-heel-cod-9692A987B516E71F;Dermatocosméticos;HEEL
P00012362;ACEITE DE COPAIBA;https://pe.ivademecum.com/medicamento-aceite-copaiba-induquimica-cod-7CFC36A3306A3829;Leches y suplementos dietéticos;INDUQUIMICA
P00012363;ACEITE DE HIGADO DE BACALAO;https://pe.ivademecum.com/medicamento-aceite-higado-bacalao-quiarsa-cod-962DAA8C13F1183A;Leches y suplementos dietéticos;QUIARSA
P00012364;ACEITE DE RICINO;https://pe.ivademecum.com/medicamento-aceite-ricino-gencopharmac-cod-3E3A7D7A78F9C119;Catárticos - Enemas;GENCOPHARMAC.
P00012365;ACEITE DE RICINO;https://pe.ivademecum.com/medicamento-aceite-ricino-markos-cod-546F1075D4DB2DC1;Catárticos - Enemas;MARKOS
P00012366;ACEITE SILICONA PURIFICADA;https://pe.ivademecum.com/medicamento-aceite-silicona-purificada-oftalmomedica-cod-01E70AA1C9CB6A19;Dermatocosméticos;OFTALMOMEDICA
P00012367;ACELUX;https://pe.ivademecum.com/medicamento-acelux-ac-farma-cod-D600AD6A1594D1FF;Medios de contraste radiológicos;AC FARMA
P00012368;ACEMET;https://pe.ivademecum.com/medicamento-acemet-labex-corp-cod-EAB5E59245A1B30F;Analgésicos;LABEX CORP.
P00012369;ACEMUK;https://pe.ivademecum.com/medicamento-acemuk-siegfried-cod-56642A7EAFD58B4A;Antitusivos, expectorantes, mucolíticos;SIEGFRIED
P00012370;ACEPOT;https://pe.ivademecum.com/medicamento-acepot-sanitas-cod-271C4F5EEBA3ABFB;Antialérgicos, antihist., corticoides asoc.;SANITAS
P00012371;ACEPRAN;https://pe.ivademecum.com/medicamento-acepran-abl-pharma-cod-072733E7C63A347C;Antiepilépticos;ABL PHARMA
P00012372;ACEPROFEN;https://pe.ivademecum.com/medicamento-aceprofen-ac-farma-cod-236877FA63815FB3;Antipsicóticos;AC FARMA
P00012373;ACERDIL;https://pe.ivademecum.com/medicamento-acerdil-cardiopharm-cod-D4C20898753235E0;Antihipertensivos;CARDIOPHARM
P00012374;ACETAK;https://pe.ivademecum.com/medicamento-acetak-medifarma-cod-7ECD23FCAD3B4E03;Antiglaucomatosos y mióticos;MEDIFARMA
P00012375;ACETAZOLAMIDA;https://pe.ivademecum.com/medicamento-acetazolamida-ac-farma-cod-20E3A5A6AF5DC54F;Antiglaucomatosos y mióticos;AC FARMA
P00012376;ACETAZOLAMIDA;https://pe.ivademecum.com/medicamento-acetazolamida-medrock-cod-24D4544BA8B130EC;Antiglaucomatosos y mióticos;MEDROCK
P00012377;ACETAZOLAMIDA FMNDTRIA;https://pe.ivademecum.com/medicamento-acetazolamida-fmndtria-farmindustria-cod-CEDB65474721A8BA;Antiglaucomatosos y mióticos;FARMINDUSTRIA
P00012378;ACETOSODIUM;https://pe.ivademecum.com/medicamento-acetosodium-trifarma-cod-8899EEEDEC93E7F7;;TRIFARMA
P00012379;ACHEFLAN CREMA;https://pe.ivademecum.com/medicamento-acheflan-crema-ache-cod-69F8359E21462A15;;ACHE
P00012380;ACHIOTE C EXTRACTO;https://pe.ivademecum.com/medicamento-achiote-c-extracto-induquimica-cod-D6FA938942BE2DF4;Leches y suplementos dietéticos;INDUQUIMICA
P00012381;ACI-BASIC;https://pe.ivademecum.com/medicamento-aci-basic-teva-cod-10ED212B925326F8;Antiácidos;TEVA
P00012382;ACI-TIP;https://pe.ivademecum.com/medicamento-aci-tip-roemmers-cod-EE6D29217BF55233;Antiácidos;ROEMMERS
P00012383;ACIBATH-S;https://pe.ivademecum.com/medicamento-acibath-s-siegfried-cod-B0C4298D6E78C690;Dermatocosméticos;SIEGFRIED
P00012384;ACICLAV;https://pe.ivademecum.com/medicamento-aciclav-oq-pharma-cod-2F9E219C84175255;Antibióticos;OQ PHARMA
P00012385;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-induquimica-cod-032154BA1E5F4FC6;Antivirales;INDUQUIMICA
P00012386;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-lansier-cod-B6F9C209EF1C8241;Antivirales oftálmicos;LANSIER
P00012387;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-lcg-cod-337F0F788BF1516C;Antivirales;LCG
P00012388;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-medrock-cod-6DEA7F130567303B;Antivirales;MEDROCK
P00012389;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-portugal-cod-12F8918E3F2CFA7B;Antivirales;PORTUGAL
P00012390;ACICLOVIR;https://pe.ivademecum.com/medicamento-aciclovir-quilab-generic-cod-7C173CE4E9F9D413;Antivirales;QUILAB GENERIC.
P00012391;ACICLOVIR FMNDTRIA;https://pe.ivademecum.com/medicamento-aciclovir-fmndtria-farmindustria-cod-1067C1B9D030DDC4;Antivirales;FARMINDUSTRIA
P00012392;ACICLOVIR GENFAR;https://pe.ivademecum.com/medicamento-aciclovir-genfar-genfar-cod-9470B855774FF533;Antivirales;GENFAR
P00012393;ACICLOVIR IQFARMA;https://pe.ivademecum.com/medicamento-aciclovir-iqfarma-iqfarma-cod-6B303C406EB6F197;Antivirales;IQFARMA
P00012394;ACICLOVIR MF;https://pe.ivademecum.com/medicamento-aciclovir-mf-marfan-cod-9036BB4ADBA1516F;Antivirales;MARFAN
P00012395;ACID-FARVET;https://pe.ivademecum.com/medicamento-acid-farvet-farvet-cod-D04474FC6D40E4F0;Antiácidos;FARVET
P00012396;ACIDINO;https://pe.ivademecum.com/medicamento-acidino-pharmed-corp-cod-E785C818638F7A55;Antiácidos;PHARMED CORP.
P00012397;ACIDMARFAR;https://pe.ivademecum.com/medicamento-acidmarfar-marfan-cod-34E8996255178DE4;Antiácidos;MARFAN
P00012398;ACIDO ACETIL SALICILICO;https://pe.ivademecum.com/medicamento-acido-acetil-salicilico-labot-cod-D7BC93BABCA20F8A;Analgésicos;LABOT
P00012399;ACIDO ALENDRONICO;https://pe.ivademecum.com/medicamento-acido-alendronico-induquimica-cod-9A52A719A32C2A0C;Medicamentos c/acción sobre metabolismo óseo;INDUQUIMICA
P00012400;ACIDO ALENDRONICO;https://pe.ivademecum.com/medicamento-acido-alendronico-sante-cod-06A41D4244E69FD0;Medicamentos c/acción sobre metabolismo óseo;LA SANTE
P00012401;ACIDO ALENDRONICO;https://pe.ivademecum.com/medicamento-acido-alendronico-medrock-cod-2C6661F3A1A3FDCA;Medicamentos c/acción sobre metabolismo óseo;MEDROCK
P00012402;ACIDO ALENDRONICO MF;https://pe.ivademecum.com/medicamento-acido-alendronico-mf-marfan-cod-3F846BDE029B9AE6;Medicamentos c/acción sobre metabolismo óseo;MARFAN
P00012403;ACIDO FOLICO;https://pe.ivademecum.com/medicamento-acido-folico-hersil-cod-096D0464888B5119;Antianémicos;HERSIL
P00012404;ACIDO FOLICO;https://pe.ivademecum.com/medicamento-acido-folico-pharmatech-cod-D2E3F3664131B300;Antianémicos;PHARMATECH
P00012405;ACIDO FOLICO;https://pe.ivademecum.com/medicamento-acido-folico-portugal-cod-3D7118BCF5C0E46A;Antianémicos;PORTUGAL
P00012406;ACIDO FOLICO;https://pe.ivademecum.com/medicamento-acido-folico-quiarsa-cod-43CCD61DC273B36C;Antianémicos;QUIARSA
P00012407;ACIDO FOLICO 800MCG;https://pe.ivademecum.com/medicamento-acido-folico-800mcg-arion-mason-cod-EF84F8008125BC44;Antianémicos;ARION MASON
P00012408;ACIDO FOLICO FMNDTRIA;https://pe.ivademecum.com/medicamento-acido-folico-fmndtria-farmindustria-cod-380A28F8CC8542AA;Antianémicos;FARMINDUSTRIA
P00012409;ACIDO FOLICO IQFARMA;https://pe.ivademecum.com/medicamento-acido-folico-iqfarma-iqfarma-cod-B3F1AF2754A165FC;Antianémicos;IQFARMA
P00012410;ACIDO FUSIDICO GENFAR;https://pe.ivademecum.com/medicamento-acido-fusidico-genfar-genfar-cod-2EADA05EA987BD31;Antibióticos tópicos;GENFAR
P00012411;ACIDO PAMIDRONICO;https://pe.ivademecum.com/medicamento-acido-pamidronico-perulab-cod-8766473687046930;Medicamentos c/acción sobre metabolismo óseo;PERULAB
P00012412;ACIDO URSODESOXICOLICO;https://pe.ivademecum.com/medicamento-acido-ursodesoxicolico-induquimica-cod-D447C2656675A414;Antilitiásicos;INDUQUIMICA
P00012413;ACIDO ZOLEDRONICO;https://pe.ivademecum.com/medicamento-acido-zoledronico-perulab-cod-2A93BF3F789C6344;Medicamentos c/acción sobre metabolismo óseo;PERULAB
P00012414;ACIDOR EXTRA RAPID;https://pe.ivademecum.com/medicamento-acidor-extra-rapid-sherfarma-cod-C00DDDF6A9371BC7;Antiácidos;SHERFARMA
P00012415;ACINOX;https://pe.ivademecum.com/medicamento-acinox-mundipharma-cod-026909D5055A31EA;Antiácidos;MUNDIPHARMA
P00012416;ACIPRAL;https://pe.ivademecum.com/medicamento-acipral-intipharma-cod-6F5B8B9520E41C39;Antiulcerosos y antisecretores;INTIPHARMA
P00012417;ACIRAX;https://pe.ivademecum.com/medicamento-acirax-torres-pharma-cod-9C6BAF2643B54319;Antivirales;TORRES PHARMA
P00012418;ACITREXOL;https://pe.ivademecum.com/medicamento-acitrexol-ac-farma-cod-CD33C76070F7CD59;Antipsoriásicos;AC FARMA
P00012419;ACLARA-T DESODORANTE;https://pe.ivademecum.com/medicamento-aclara-t-desodorante-cooper-cod-A013DB188EA593FA;Antitranspirantes;LA COOPER
