code;name;url
P00000002;Acidez Gástrica;https://pe.ivademecum.com/patologia-acidez-gastrica-cod-7C7A665C8710F9A3
P00000003;Acidosis;https://pe.ivademecum.com/patologia-acidosis-cod-03BC99D1BC5CDD14
P00000004;Acné;https://pe.ivademecum.com/patologia-acne-cod-222D01B74DD9326C
P00000005;Acromegalia;https://pe.ivademecum.com/patologia-acromegalia-cod-B73B53E99D4BE954
P00000006;Alcoholismo;https://pe.ivademecum.com/patologia-alcoholismo-cod-27383FA972272E62
P00000007;Alergia;https://pe.ivademecum.com/patologia-alergia-cod-E60032B0D2761FB1
P00000008;Alopecia;https://pe.ivademecum.com/patologia-alopecia-cod-C940AD4F65F04152
P00000010;Amenorrea Primaria Y Secundaria;https://pe.ivademecum.com/patologia-amenorrea-primaria-secundaria-cod-1E560F382FC6B11A
P00000011;Anemias;https://pe.ivademecum.com/patologia-anemias-cod-41D0E9B8E7FC7908
P00000012;Anestesia;https://pe.ivademecum.com/patologia-anestesia-cod-BC5AF9E908D81AEF
P00000013;Anorexia;https://pe.ivademecum.com/patologia-anorexia-cod-6FA82770227CE4B3
P00000014;Ansiedad;https://pe.ivademecum.com/patologia-ansiedad-cod-F9231A34240456AF
P00000016;Arritmias Cardíacas;https://pe.ivademecum.com/patologia-arritmias-cardiacas-cod-2386D791E98A897F
P00000017;Artritis Reumatoidea;https://pe.ivademecum.com/patologia-artritis-reumatoidea-cod-1EFCDE6370AF9DDD
P00000018;Artrosis - Reumatismo;https://pe.ivademecum.com/patologia-artrosis-reumatismo-cod-B65A38645F82EC28
P00000019;Asepsia;https://pe.ivademecum.com/patologia-asepsia-cod-E8BD04DA3A01A086
P00000020;Asma Bronquial;https://pe.ivademecum.com/patologia-asma-bronquial-cod-77FBE062C6BAF1FC
P00000021;Astenia Psicofísica;https://pe.ivademecum.com/patologia-astenia-psicofisica-cod-CB2163D57F22DD36
P00000231;Blefarospasmo;https://pe.ivademecum.com/patologia-blefarospasmo-cod-C64539B248F422F3
P00000023;Bronquitis;https://pe.ivademecum.com/patologia-bronquitis-cod-7E8609B04562DC0F
P00000024;Bulimia Nerviosa;https://pe.ivademecum.com/patologia-bulimia-nerviosa-cod-548CAA238CF93199
P00000025;Callos;https://pe.ivademecum.com/patologia-callos-cod-67DF34608B575F13
P00000026;Cáncer;https://pe.ivademecum.com/patologia-cancer-cod-DEAF6F95048348C3
P00000027;Cardiopatía Isquémica;https://pe.ivademecum.com/patologia-cardiopatia-isquemica-cod-D4608C89BFBCFAFB
P00000030;Cataratas - Degeneración Macular;https://pe.ivademecum.com/patologia-cataratas-degeneracion-macular-cod-01CF42B7C09AEFF9
P00000033;Cirugía Y Diagnóstico Oftalmológico;https://pe.ivademecum.com/patologia-cirugia-diagnostico-oftalmologico-cod-0F3DF0E6F9301220
P00000035;Climaterio;https://pe.ivademecum.com/patologia-climaterio-cod-EFE03EF9BE3C6443
P00000036;Colagenopatías;https://pe.ivademecum.com/patologia-colagenopatias-cod-714BB8FFFBDE2FDF
P00000037;Cólera;https://pe.ivademecum.com/patologia-colera-cod-9FBD24FE7657B20A
P00000038;Cólicos;https://pe.ivademecum.com/patologia-colicos-cod-BD8D603F361136FC
P00000039;Colitis Ulcerosa;https://pe.ivademecum.com/patologia-colitis-ulcerosa-cod-F3DD3855CB0ACD5F
P00000040;Colon Irritable;https://pe.ivademecum.com/patologia-colon-irritable-cod-6785A3A83C7CD80D
P00000041;Congestión Nasal;https://pe.ivademecum.com/patologia-congestion-nasal-cod-D94EBFAE34ACDCD8
P00000042;Congestión Respiratoria - Catarral;https://pe.ivademecum.com/patologia-congestion-respiratoria-catarral-cod-5FC8195B7A40B649
P00000043;Conjuntivitis Alérgicas;https://pe.ivademecum.com/patologia-conjuntivitis-alergicas-cod-A9E1F87509F18459
P00000044;Conjuntivitis Bacterianas Y Micóticas;https://pe.ivademecum.com/patologia-conjuntivitis-bacterianas-micoticas-cod-F59BD93DC19EEA19
P00000045;Conjuntivitis Virales;https://pe.ivademecum.com/patologia-conjuntivitis-virales-cod-EA45E04D9B406B24
P00000046;Constipación;https://pe.ivademecum.com/patologia-constipacion-cod-21431248D8C5E1D8
